Team,Total Historical Matches,Earliest Match Date,Most Recent Match Date
Algeria,615,1963-01-06,2026-03-31
Argentina,1067,1902-07-20,2026-03-31
Australia,580,1922-06-17,2026-05-30
Austria,859,1902-10-12,2026-03-31
Belgium,851,1904-05-01,2026-03-31
Bosnia and Herzegovina,282,1995-11-30,2026-05-29
Brazil,1058,1914-09-20,2026-05-31
Canada,467,1885-11-28,2026-03-31
Cape Verde,234,1959-12-20,2026-05-31
Colombia,636,1938-02-10,2026-03-29
Croatia,394,1940-04-02,2026-03-31
Curaçao,384,1924-04-06,2026-05-30
Czech Republic,359,1994-02-23,2026-05-31
Côte D'Ivoire,0,N/A,N/A
DR Congo,522,1948-05-25,2026-03-31
Ecuador,590,1938-08-08,2026-05-30
Egypt,755,1920-08-28,2026-05-28
England,1088,1872-11-30,2026-03-31
France,933,1904-05-01,2026-03-29
Germany,1030,1908-04-05,2026-05-31
Ghana,670,1950-05-28,2026-05-22
Haiti,508,1925-03-22,2026-03-31
Iran,611,1941-08-23,2026-05-29
Iraq,653,1960-06-05,2026-05-29
Japan,790,1917-05-07,2026-05-31
Jordan,484,1963-01-06,2026-05-31
Mexico,1002,1923-01-01,2026-05-30
Morocco,615,1958-04-03,2026-05-26
Netherlands,877,1905-04-30,2026-03-31
New Zealand,414,1922-06-17,2026-03-30
Norway,870,1908-07-12,2026-03-31
Panama,537,1938-02-12,2026-05-31
Paraguay,782,1919-05-11,2026-03-31
Portugal,693,1921-12-18,2026-03-31
Qatar,634,1970-03-27,2026-05-28
Saudi Arabia,739,1963-11-18,2026-05-30
Scotland,850,1872-11-30,2026-05-30
Senegal,637,1961-12-05,2026-05-31
South Africa,479,1906-07-09,2026-05-29
South Korea,1006,1949-01-02,2026-05-30
Spain,781,1920-08-28,2026-03-31
Sweden,1099,1908-07-12,2026-03-31
Switzerland,883,1905-02-12,2026-05-31
Tunisia,676,1957-06-02,2026-03-31
Turkey,640,1923-10-26,2026-03-31
United States,789,1885-11-28,2026-05-31
Uruguay,970,1902-07-20,2026-03-31
Uzbekistan,352,1992-06-17,2026-03-30
