team_name,avg_expected_win_probability
Kernow,0.7622084155733027
Gotland,0.680096946223448
Vatican City,0.6236290722270741
Délvidék,0.6083504227377147
Artsakh,0.561657375574254
Menorca,0.5570268361520339
Belgium,0.5425417853288873
Spain,0.5386192441275619
Saint Barthélemy,0.5384518314156748
Brazil,0.5381628608973377
Réunion,0.5327157499983117
Italy,0.5273505777831544
France,0.5254886928166986
West Papua,0.523259988394694
Guernsey,0.5217582007764977
Japan,0.5215612848311866
Greenland,0.5209570379092912
Ivory Coast,0.520458892301249
Portugal,0.5136696240197419
Germany,0.5130196290895787
England,0.5128577939444188
Yorkshire,0.5122145813698474
United States,0.5111477922248046
Isle of Man,0.510258957565923
Algeria,0.5100867106554144
Ynys Môn,0.5090672926476096
Jersey,0.5088813181283202
United Koreans in Japan,0.5080505328576105
Morocco,0.5015324730196921
Abkhazia,0.4993983528975499
Senegal,0.49753025608287094
Galicia,0.49624650385929375
Guatemala,0.48884268324071667
Samoa,0.48883129532562153
Croatia,0.4832061670588117
Argentina,0.4828997666097412
South Africa,0.47847884247400657
Egypt,0.4778483148499354
Parishes of Jersey,0.4757898916924226
Iran,0.4735763328903629
Poland,0.4734480709562394
Ryūkyū,0.4715117287345225
Barbados,0.4712910648138148
Iraqi Kurdistan,0.47058118482980865
Netherlands,0.4691233985893776
Sweden,0.4690775106661983
Catalonia,0.4643837936593596
Romania,0.4627151724319695
Hungary,0.46181140267830095
Denmark,0.46109327242044246
Nigeria,0.4595061979281742
Austria,0.45802051792570014
Montenegro,0.45637395898255634
Russia,0.4524445648881431
Padania,0.4514448041798689
New Caledonia,0.45019370477005805
Canada,0.448816043786026
Barawa,0.44842254604643766
Australia,0.4472737217238087
Scotland,0.4465337993630491
Ghana,0.44567955116079505
Slovenia,0.4449126922948909
Curaçao,0.44405772729656307
Tunisia,0.44331886586146646
China,0.44320836817499387
Felvidék,0.44273224539180095
Serbia,0.4419932455410922
Pakistan,0.4390189210167767
Fiji,0.4384556251827356
Corsica,0.4384169914638555
Åland Islands,0.4377234174091107
South Korea,0.4366082788499554
Iraq,0.4363052051647206
Northern Cyprus,0.4350420313117447
Kenya,0.4347862141103659
Orkney,0.4339282539231724
Cameroon,0.43325019851779734
Mexico,0.4317354041215527
Uruguay,0.43138145670382577
Saudi Arabia,0.431234045297597
Greece,0.4293321325505524
Colombia,0.429247356981535
Vanuatu,0.42770294148561283
Suriname,0.4276755469275352
Norway,0.42613367872857766
India,0.4229996023957088
Albania,0.4211314031527425
Uzbekistan,0.4206331555735921
Tamil Eelam,0.42007401549066065
Bahrain,0.41955399326004394
Czech Republic,0.4182288831336425
Vietnam,0.41815646217727925
Malaysia,0.4174922605709383
Switzerland,0.41577914637630936
Guinea,0.4127908703117391
Gabon,0.41210128574349086
Tahiti,0.4119936919080764
Republic of Ireland,0.4116583849857663
Guadeloupe,0.411122565522453
Solomon Islands,0.4108521546662084
Kuwait,0.4103313385945035
Jordan,0.4098929184204394
Oman,0.40948414746986866
Wales,0.40918297464767
Bangladesh,0.4089396477446125
Qatar,0.40875185879924925
Indonesia,0.4051815411195009
Israel,0.40488383961533997
United Arab Emirates,0.40319483222892477
Dominica,0.40288520148102047
Basque Country,0.402079618667253
Martinique,0.40196099882458375
Papua New Guinea,0.40033839084239997
Ethiopia,0.3992847719306893
Saint Kitts and Nevis,0.3983515939723091
Dominican Republic,0.39735368832969564
Burkina Faso,0.39523069194082655
Saint Lucia,0.3942794400993862
Mali,0.3914598784093471
Hong Kong,0.3913697597163241
Mozambique,0.3905297923113089
Mongolia,0.389431372642189
Romani people,0.3891761782755377
Western Armenia,0.38914073985163555
Ukraine,0.3884942961113553
Mayotte,0.38776725264768264
Georgia,0.38669456908325556
North Macedonia,0.38500742097405677
Palestine,0.38493487740794236
Zimbabwe,0.38392924832898717
Kárpátalja,0.38329876930153106
Cape Verde,0.38220086632817213
Ellan Vannin,0.3818158167726426
Guyana,0.38103572764844074
El Salvador,0.3808932000438345
Myanmar,0.37959969683548844
Falkland Islands,0.3792388262937074
Congo,0.3792022653313733
Slovakia,0.37737390738160886
North Korea,0.37683966920235146
Finland,0.37581341680790575
Madagascar,0.3754828267541356
Shetland,0.37515668227270693
Montserrat,0.3751418117937489
Costa Rica,0.37496368370466926
Philippines,0.373892620843552
New Zealand,0.3738715595465998
DR Congo,0.3732423565434753
Cascadia,0.37310483497770885
Thailand,0.3718675796188313
Liberia,0.3717329325254286
Benin,0.3714220590260889
Saare County,0.37062569196638895
Angola,0.37019994374057924
Belize,0.3693510118316193
Ecuador,0.36855299007695475
Zambia,0.3683524595361162
Haiti,0.36651955939810055
Bulgaria,0.36480942476631356
Equatorial Guinea,0.36385546082802306
French Guiana,0.36359505778324847
Turkmenistan,0.36303230192383246
Northern Ireland,0.3625335265547315
Nepal,0.3618728630183789
Panjab,0.3611247457044351
Lebanon,0.3609330992949997
Chile,0.3608781838562938
Nicaragua,0.3604670591066453
Tajikistan,0.3603268575025586
Cayman Islands,0.3598929281252628
Macau,0.3588666511639177
Sápmi,0.3583043431480296
Turkey,0.35767767910557996
East Turkestan,0.3563680690519339
Honduras,0.35626729472746194
Afghanistan,0.35527320689762976
Guam,0.3547469622601025
Brunei,0.35289192043625384
Puerto Rico,0.35039004007440555
Bermuda,0.3499890792703878
Jamaica,0.34911924776734526
Maldives,0.3482694760482787
Rwanda,0.3473948027766691
Bahamas,0.34580176915012295
Hitra,0.3450650183641714
Bosnia and Herzegovina,0.34329951104895784
Uganda,0.342730365800298
Sudan,0.34059333940152825
Togo,0.3402601564878274
Kyrgyzstan,0.34010841615254767
Bonaire,0.33807599707308966
Antigua and Barbuda,0.33691274682625677
Libya,0.33630181287902416
Matabeleland,0.33536036320315965
South Sudan,0.3348179207506797
Burundi,0.3331786836136521
Armenia,0.33313685945348537
South Ossetia,0.3314682606816375
Niger,0.3296863976036548
Central African Republic,0.3295646467850139
Singapore,0.32843288134470827
Belarus,0.3276139516244979
Trinidad and Tobago,0.32456435209117274
Namibia,0.3242553446004186
Székely Land,0.3240083339843091
Sint Maarten,0.3231169088214798
Mauritius,0.32281193744883446
Malawi,0.32250441019854426
Peru,0.32250268061930326
Comoros,0.32236096017603566
Latvia,0.3195825590328039
Saint Vincent and the Grenadines,0.3195402392209092
Grenada,0.31771452779084075
Laos,0.3133398969466467
Kosovo,0.3115084259583079
American Samoa,0.3103670394642301
Panama,0.30969487934043033
United States Virgin Islands,0.30904889580430356
Zanzibar,0.30903109915269894
Iceland,0.3088436708007618
Taiwan,0.30876591255349006
Aruba,0.30658495703337807
Syria,0.3061511862954306
Western Isles,0.3055593084349073
Chameria,0.30356299694075106
Tanzania,0.30240005964582295
Somaliland,0.3021981587206301
Azerbaijan,0.3019721730723226
Donetsk PR,0.3017514766910753
Sierra Leone,0.3012373993130834
Gambia,0.3011602024917105
Saint Martin,0.29878329207726
Guinea-Bissau,0.2986148392327839
Paraguay,0.2986135478802996
Mauritania,0.2938809283606754
Botswana,0.29300321889630865
Yemen,0.2893995297242417
Cuba,0.28814069737928893
Estonia,0.28497111756149657
Eswatini,0.28405697571120403
Eritrea,0.28065434955115554
Chagos Islands,0.28064765050773005
Raetia,0.28057669132789764
Cambodia,0.2803680809020292
Venezuela,0.27701547939511906
Northern Mariana Islands,0.27683561657899214
Sri Lanka,0.27521910973544395
Lesotho,0.2736335894096202
Turks and Caicos Islands,0.26908659486096087
Chad,0.26896254380161155
Cyprus,0.26759733489650134
Andorra,0.2651709055103952
Faroe Islands,0.26374065468208313
Kazakhstan,0.2634578987711394
Surrey,0.2608452784932976
Luhansk PR,0.2605676029937884
Anguilla,0.257194415456596
Frøya,0.253744087949789
Franconia,0.24871598601819755
British Virgin Islands,0.242382890097387
Kabylia,0.2391367144031321
São Tomé and Príncipe,0.23674257635755513
Lithuania,0.2347360164110641
Monaco,0.22964503316946622
Gibraltar,0.22860206534753652
Somalia,0.22310122509572064
Bolivia,0.22203095979630974
Tuvalu,0.22066414560639772
Saint Helena,0.21672873380083216
Seychelles,0.2159196762818681
Timor-Leste,0.21454617900755132
Malta,0.2098824335736646
Luxembourg,0.20890965886163498
Djibouti,0.20771285676137258
Moldova,0.19727319001738366
Bhutan,0.18787826631418475
Tonga,0.18640447018717918
Tibet,0.17888273966800036
Alderney,0.1643131529199318
Liechtenstein,0.15560000512972055
San Marino,0.07118230086329727
Czechoslovakia,
Brittany,
Yugoslavia,
Andalusia,
Central Spain,
Silesia,
Manchukuo,
German DR,
Saarland,
Vietnam Republic,
North Vietnam,
Western Australia,
Cook Islands,
Yemen DPR,
Kiribati,
Wallis Islands and Futuna,
Niue,
Palau,
Isle of Wight,
Canary Islands,
Rhodes,
Micronesia,
Western Sahara,
Sark,
Occitania,
Chechnya,
Republic of St. Pauli,
Găgăuzia,
Provence,
Arameans Suryoye,
Gozo,
Sealand,
Kurdistan,
Darfur,
Saint Pierre and Miquelon,
Madrid,
Quebec,
Saugeais,
County of Nice,
Seborga,
Elba Island,
Yoruba Nation,
Biafra,
Mapuche,
Aymara,
Ticino,
Hmong,
Marshall Islands,
Asturias,
South Yemen,
Ambazonia,
Crimea,
Two Sicilies,
Cilento,
Maule Sur,
